"","d1","d1.1","d1.2","d7","d7.1","d7.2","p2","p2.1","p2.2","l4","l4.1","l4.2","p8","p8.1","p8.2","d3","d3.1","d3.2","d8","d8.1","d8.2","l3","l3.1","l3.2","l7","l7.1","l7.2","l5","l5.1","l5.2","d4","d4.1","d4.2","l6","l6.1","l6.2","l2","l2.1","l2.2","l10","l10.1","l10.2","h7","h7.1","h7.2","h8","h8.1","h8.2","p5","p5.1","p5.2","h1","h1.1","h1.2","p7","p7.1","p7.2","l9","l9.1","l9.2","p10","p10.1","p10.2","l8","l8.1","l8.2","d2","d2.1","d2.2","h9","h9.1","h9.2","p6","p6.1","p6.2","d5","d5.1","d5.2","h4","h4.1","h4.2","h6","h6.1","h6.2","h10","h10.1","h10.2"
"Chl.a",582.393734903846,1047.23081301701,724.277437582415,548.944199346818,766.531390131802,580.564770825743,1920.23929264202,1356.84503095955,2116.65764661524,0,23.8594229469679,0,638.322731923971,667.781203835291,384.448535253731,158.068506905947,323.545396165452,304.786757920866,0,0,60.7356821605746,38.7215043263995,143.36010301364,0,162.425486882312,2.53192179316621,71.8782583222008,0,0,0,0,0,0,0,46.9389040365885,0,0,32.451430090794,73.5105101725139,298.795710369516,208.517270782715,0,415.027018585278,0,144.727405731621,0,34.8720822000189,0,2561.95851639714,2154.65681103192,2543.25986569642,0,313.19175435651,86.6938103482723,1868.04999816811,1002.68706915027,1471.34683650216,0,232.882874879669,0,1678.80297566894,1044.26275442518,1904.93752829954,277.373263880787,199.911958901246,127.256405450567,828.459259248381,0,382.055730111389,56.7129049531446,437.004198938692,0,2853.5901445035,2093.77061597727,2945.98014199886,1166.16620437221,1205.82964112999,938.313463629859,868.421192841928,0,927.767559626495,269.177478871996,985.30253147568,0,885.038575363919,1207.11996653855,1276.56260013635
"Chl.c1",0,58.0596122015335,0,0,18.8112602185049,0,0,0,13.6852643607277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.005070519015,0,144.341255675387,0,0,0,14.3528157561825,0,0,0,0,0,0,0,71.6536351452579,0,0,0,48.110539944198,0,0,0,0,0,119.411590489418,22.7126240741684,284.837081540563,76.8395817533826,75.1003484165283,34.8014017345234,51.1225501568408,0,50.5992907992788,0,53.812369101065,0,23.9490737090255,78.2091858619429,76.347759999689
"Chl.c2",110.994633693035,34.3802404143329,120.109670860761,116.543356582527,73.5644007293315,110.856986258904,295.248567693085,341.336569801906,271.128826602822,84.556330616704,96.1535450275289,47.8307651360805,182.426785179634,172.31872567943,198.406857986475,137.22773175959,119.048485901311,119.186198341883,138.182533461693,127.334400745326,139.166449665851,89.782491387624,77.8854060437632,82.242247525361,86.1885218248956,103.412897541376,99.9115230953073,0,61.253671375763,42.2738906877196,89.6331912726592,0,0,55.5152557696917,97.7851793664677,0,79.6949558128806,80.2240914319286,77.7011601432187,35.4642388538862,46.4751315592189,12.4816452758612,81.8361170033255,104.579549924707,112.534194869784,79.5660683469853,94.8682017976745,76.1938052576276,124.774117656112,265.443103459019,77.6846104262,87.3011038584322,72.2565817888096,92.2879884983792,199.185013135029,283.732116361301,238.017495976505,116.95504505314,122.564086276596,0,303.081497829956,368.447715418979,226.476491293478,59.4195558938793,61.2683813287303,72.2986608499727,49.9499641601843,78.6327154199549,131.107151601813,103.06173713456,74.8756685955124,103.225538072938,125.115996441902,291.648148083274,0,0,0,49.9514470284269,0,97.528138952905,0,109.105606629587,9.29203393596819,88.4604455417279,72.9862645998098,0,0
"Fuco",559.554858834848,998.245510876441,694.366028203677,581.654609667051,750.642036517057,597.601675199245,1667.61322850667,1198.19893776092,1787.12920977782,55.5661308524713,143.634334582841,0,715.765368773833,757.702506095571,491.556979822663,230.733934915924,360.541885830082,349.32667595862,126.32599657174,109.032455913647,260.23312393395,202.146965716976,284.532306468039,85.5411031086192,288.396636403103,164.895832411374,221.50257306342,0,165.16225823399,22.4883262292133,82.8742618152461,0,0,0,210.533476460382,0,120.01781907064,199.943945854269,233.051442008708,526.827784486982,402.302188751416,0,552.315788099039,51.0112065355347,285.891417953198,66.4937279573007,198.631283256101,25.9903272695643,2471.29836279452,2189.9490898272,2578.97039263101,114.223835186967,387.72024501582,201.439751660913,1763.12446412971,1012.73216612558,1414.36062717492,75.7411594631835,329.833972767856,0,1603.38732287062,1055.61583209624,1882.00618143961,431.767962221673,361.86749231574,287.791461989366,1006.21341945771,0,629.951554068975,269.777406474705,546.748459692109,135.343368209704,2341.86335507177,1694.4334089796,2378.37751841225,1114.68021187061,1127.16199580691,922.526622099132,885.538201239971,56.4404441704566,915.344085126753,346.010197893243,857.388399331384,0,757.560841884422,991.399906488619,1027.4932333258
