"","X28.09.21","X28.09.21.1","X28.09.21.2","X11.10.21","X11.10.21.1","X11.10.21.2","X14.10.21","X14.10.21.1","X14.10.21.2","X03.11.21","X03.11.21.1","X03.11.21.2","X05.11.21","X05.11.21.1","X05.11.21.2","X09.11.21","X09.11.21.1","X09.11.21.2","X12.11.21","X12.11.21.1","X12.11.21.2","X16.11.21","X16.11.21.1","X16.11.21.2","X19.11.21","X19.11.21.1","X19.11.21.2","X19.11.21.3","X19.11.21.4","X19.11.21.5","X19.11.21.6","X19.11.21.7","X19.11.21.8"
"bb.Car",3.84664154502078,3.02816672223362,2.2622198902696,0,4.97878496904366,3.38539935129735,5.51957618471006,0,2.07687261415461,0,6.42839512513221,5.82894628730192,3.68890855185295,4.71281612420498,4.48136657243152,4.71905681417124,2.21697167241608,3.91234858292079,0.458012674908442,0,4.30648294421708,4.36821162435638,4.57091427664639,5.83829406356213,3.72420472324363,4.90573804437424,3.43844461093933,3.60301070726523,3.41868145038852,3.5667931866477,3.15758964621904,4.0805342956107,2.80496902813582
"Chl.a",0,0,0,2.34113308464754,0,0,0,18.5671057257891,0,0,0,0,0,0,0,0,0,0,4.667381160887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chl.c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chl.c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuco",0,0,0,20.5506284019509,0,0,2.91930626151097,17.6259967855431,9.01073193374422,22.3824311354949,0,0,0,0,0,0,0,0,17.2215798146862,12.9133660340522,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phe.a",3.01439748520536,3.32430721664466,2.30394642606088,6.07086595168492,4.8339275646116,4.39154902750453,5.53214951309582,50.6665665893475,33.212465548743,7.30219846583604,3.31134879682276,4.22356239545634,3.69575509760452,17.9716401645269,27.3067518675368,37.3140147028768,50.0926973081495,54.4037803508914,54.0403426895835,26.4530658440277,29.0817478416634,3.91065113449903,3.33790504602381,4.66850018514344,2.60499960833348,4.04514388979499,1.86284804290598,2.94728580955664,2.53054533100097,3.42224762012628,2.96590778291032,3.30485343855192,2.4111834301333
"Viola",3.7583565975155,4.16374801197795,4.70443956341392,3.43330142620241,5.88765784355959,4.32917855156153,6.75017428216175,5.72865947995614,5.43173270618863,3.76517238079563,8.29630751922715,6.03414945307634,4.87242201919153,6.28982145726977,4.7320980274987,6.09793127229853,5.28964375369983,7.52687020767592,2.77943031998422,3.43299431052362,6.95904399279136,4.09045291852779,4.60773241880596,6.55118570820037,4.31399835507492,4.9670150091986,3.79084486008875,4.65541055035348,3.20336828637783,4.83917196808706,3.40591395302279,4.63933576277748,3.32205049597013
"Zea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
