"","d1","d1.1","d1.2","d7","d7.1","d7.2","p2","p2.1","p2.2","l4","l4.1","l4.2","p8","p8.1","p8.2","d3","d3.1","d3.2","d8","d8.1","d8.2","l3","l3.1","l3.2","l7","l7.1","l7.2","l5","l5.1","l5.2","d4","d4.1","d4.2","l6","l6.1","l6.2","l2","l2.1","l2.2","l10","l10.1","l10.2","h7","h7.1","h7.2","h8","h8.1","h8.2","p5","p5.1","p5.2","h1","h1.1","h1.2","p7","p7.1","p7.2","l9","l9.1","l9.2","p10","p10.1","p10.2","l8","l8.1","l8.2","d2","d2.1","d2.2","h9","h9.1","h9.2","p6","p6.1","p6.2","d5","d5.1","d5.2","h4","h4.1","h4.2","h6","h6.1","h6.2","h10","h10.1","h10.2"
"Chl.a",1326.10994880931,1493.02258577444,1499.65102807547,1449.13340856177,1400.07786870985,1433.37813254762,2978.06764963371,2993.22421423158,3019.55121331932,836.870257195811,862.244902430889,860.520282115331,2085.1208246404,2057.38378188134,2033.87712188819,1316.43206718529,1276.19370804901,1265.40990871745,1468.62572303115,1441.51854467271,1448.88821012127,767.458368003199,742.791480402582,751.697253595716,884.290191919513,918.136431940866,944.939874466976,583.100441210844,572.365921179609,577.945980664205,1166.99976240329,1112.71168020679,1143.81044440254,824.217555273905,835.797730414575,812.69704599263,639.704855115365,643.503949182557,648.745318069835,653.857234084897,644.122221648939,661.406280667236,1101.28251782416,1115.97154532773,1125.45047893971,911.133498313129,896.607074721747,907.179893565512,3286.13719590558,3277.56932269455,3340.59084153838,868.047227493748,876.934409533125,886.840686430786,2436.92079729562,2428.8974004961,2395.57382371588,1127.71495899551,1126.30607298924,1098.00711562327,2846.55216448791,2891.25507302108,2955.54827414938,697.579361576015,671.172347517968,694.935242235825,1409.65400799816,1383.52205522243,1381.58515354691,992.29705095987,989.118902311427,995.230230022011,3074.36120970995,3134.449880343,3135.38342187844,1375.82920626874,1369.3059475313,1363.51765181966,1060.62557769348,1029.2511751085,1053.32804116897,1213.65086197008,1198.64447201715,1205.64931746451,1291.45114617116,1277.90197244332,1286.61611136369
"Chl.c1",55.7085754921764,63.5146933887524,66.2248398828898,56.2855713186837,54.8265710777296,54.6887558083344,60.9950543746521,113.458244374536,87.6590245828508,0,0,0,0,0,0,49.224801725125,46.8799917944386,46.5991795410667,31.0659724954726,30.1301932830788,28.8760753107045,0,0,0,0,0,0,0,0,0,13.2402993496382,15.5495689926747,17.7584208391064,0,0,0,0,0,0,0,0,0,34.7893150405773,37.82489916356,36.9816677050509,26.4870449247825,24.8727971678776,27.8984906918228,143.957299302527,57.4918336655677,125.344432738088,26.6295354362829,27.6891869518422,29.8251749331209,1.21130771039259,0,22.6405950666528,0,0,0,89.9348970071626,99.52194355501,111.832003300076,0,0,0,29.551753684804,42.1535502065406,41.9848875340889,34.8219976914668,35.1070808080101,35.7499900889675,64.1311871836404,125.479402846796,262.123224286068,59.7037849361802,59.5449705674168,54.8653300011675,30.3797621946075,31.2502826999745,31.5523154683353,40.6336083028906,41.412993163216,43.5820138271324,62.4821414772955,64.2832313502488,64.4186285743643
"Chl.c2",0,0,0,0,0,0,159.923508794522,111.136534029672,133.740923851779,24.8155194715503,25.2405985508932,27.2314111908319,72.7665429085735,67.8928149358811,70.3389842885095,0,0,0,0,0,0,30.3542685717979,28.4946608220915,31.1582082589265,27.2027615937046,28.9940899701943,29.272686704379,25.1618123378635,23.9918993448161,24.1273952939676,0,0,0,28.5421341486932,29.6671705022958,31.2423797535987,33.578870544695,31.8580042602525,32.568935823818,16.323216817642,16.7958994172259,18.6331147733028,0,0,0,0,0,0,54.1144309778996,139.248589070117,53.8646259226382,0,0,0,177.559191868586,176.811210633558,151.353741394081,47.0566638892539,43.7498689226596,46.1958751011881,132.276119874027,131.163985762915,119.427124423729,28.1536063173161,25.7343732059392,26.9111184741014,28.157506281937,19.0801485058743,18.4521588564217,0,0,0,164.109728584309,117.542902237806,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuco",1123.74738886663,1272.79420306772,1269.03139950968,1236.82786736008,1191.91619219511,1218.56439718017,2375.41155911558,2362.46327595804,2399.8976414703,764.008249991251,791.268677640641,773.768653406342,1677.66655693101,1668.34872015766,1634.98933534243,1106.59316451489,1077.98276602678,1071.96431729843,1328.88018950517,1309.62518981827,1322.81327592175,744.328045742032,728.725922494221,726.024680774167,819.59124308649,842.787078244476,862.498112630819,601.643379590574,601.288318143242,604.539985167807,1023.5204019935,964.632074548736,984.498531862586,801.948409510757,818.374732599854,784.854420789157,624.608243657161,637.73905684328,639.633192052764,648.858924875612,628.611495220367,638.351466874792,1033.3825201095,1036.72806369885,1051.45956252258,885.279827573341,874.19043975105,879.633363656009,2892.18134023079,2851.47891648032,2923.01952592914,808.231180876132,821.130789764042,811.994759837999,2035.64516088419,1999.35109669042,2002.03623165934,991.37286181006,1019.49650392158,971.474192111007,2388.30522099458,2402.88150091582,2483.23881813823,697.009815812281,668.313027162089,690.933458001684,1294.4362386441,1265.46530757158,1264.839391338,952.853320664353,951.451614413946,947.085927720438,2391.95698188591,2414.26469158528,2413.57873865259,1200.59712230977,1197.23918789951,1196.74675497866,992.960917128441,960.000524310104,984.889337198625,1025.07344036698,1033.85827372018,1012.42183035164,1094.6399910382,1078.82684545989,1092.91479832242
