Species,Date,Buoyant,Blotted,Lyophilised,BB,LB
Laminaria digitata,22.09.21,7.693,6.852,NA,0.890679839,NA
Laminaria digitata,22.09.21,3.602,2.942,NA,0.816768462,NA
Laminaria digitata,22.09.21,6.318,5.29,NA,0.837290282,NA
Laminaria digitata,22.09.21,4.804,3.875,NA,0.806619484,NA
Laminaria digitata,22.09.21,1.756,1.502,NA,0.855353075,NA
Laminaria digitata,22.09.21,7.847,6.662,NA,0.848986874,NA
Laminaria digitata,22.09.21,1.695,1.326,NA,0.782300885,NA
Laminaria digitata,22.09.21,1.568,1.221,NA,0.77869898,NA
Laminaria digitata,22.09.21,1.505,1.204,NA,0.8,NA
Laminaria digitata,22.09.21,1.523,1.062,NA,0.697307945,NA
Laminaria digitata,22.09.21,1.325,1.062,NA,0.801509434,NA
Laminaria digitata,22.09.21,1.047,0.799,NA,0.76313276,NA
Laminaria digitata,22.09.21,1.03,0.652,NA,0.633009709,NA
Laminaria digitata,22.09.21,0.678,0.512,NA,0.755162242,NA
Laminaria digitata,22.09.21,0.83,0.485,NA,0.584337349,NA
Laminaria digitata,22.09.21,0.815,0.543,NA,0.666257669,NA
Laminaria digitata,22.09.21,0.532,0.322,NA,0.605263158,NA
Laminaria digitata,22.09.21,0.18,0.071,NA,0.394444444,NA
Laminaria digitata,22.09.21,0.259,0.103,NA,0.397683398,NA
Laminaria digitata,22.09.21,0.109,0.026,NA,0.23853211,NA
Laminaria hyperborea,22.09.21,10.173,9.114,NA,0.895900914,NA
Laminaria hyperborea,22.09.21,9.105,7.935,NA,0.871499176,NA
Laminaria hyperborea,22.09.21,7.829,6.776,NA,0.865500064,NA
Laminaria hyperborea,22.09.21,6.014,5.102,NA,0.848353841,NA
Laminaria hyperborea,22.09.21,4.939,4.121,NA,0.834379429,NA
Laminaria hyperborea,22.09.21,3.254,2.747,NA,0.844191764,NA
Laminaria hyperborea,22.09.21,3.071,2.545,NA,0.828720287,NA
Laminaria hyperborea,22.09.21,1.947,1.547,NA,0.794555727,NA
Laminaria hyperborea,22.09.21,4.538,3.776,NA,0.832084619,NA
Laminaria hyperborea,22.09.21,5.145,4.34,NA,0.843537415,NA
Laminaria hyperborea,22.09.21,3.123,2.545,NA,0.81492155,NA
Laminaria hyperborea,22.09.21,2.03,1.607,NA,0.791625616,NA
Laminaria hyperborea,22.09.21,1.685,1.23,NA,0.729970326,NA
Laminaria hyperborea,22.09.21,1.029,0.741,NA,0.720116618,NA
Laminaria hyperborea,22.09.21,2.038,1.646,NA,0.807654563,NA
Laminaria hyperborea,22.09.21,0.856,0.605,NA,0.706775701,NA
Laminaria hyperborea,22.09.21,0.407,0.277,NA,0.680589681,NA
Laminaria hyperborea,22.09.21,0.192,0.117,NA,0.609375,NA
Laminaria hyperborea,22.09.21,0.132,0.064,NA,0.484848485,NA
Laminaria hyperborea,22.09.21,0.068,0.037,NA,0.544117647,NA
Saccharina latissima,22.09.21,11.032,9.969,NA,0.903643945,NA
Saccharina latissima,22.09.21,10.144,9.368,NA,0.923501577,NA
Saccharina latissima,22.09.21,7.373,6.842,NA,0.927980469,NA
Saccharina latissima,22.09.21,0.727,0.528,NA,0.726272352,NA
Saccharina latissima,22.09.21,1.925,1.732,NA,0.89974026,NA
Saccharina latissima,22.09.21,2.166,1.897,NA,0.875807941,NA
Saccharina latissima,22.09.21,0.831,0.583,NA,0.70156438,NA
Saccharina latissima,22.09.21,3.239,3.116,NA,0.962025316,NA
Saccharina latissima,22.09.21,1.047,0.895,NA,0.854823305,NA
Saccharina latissima,22.09.21,1.293,1.092,NA,0.844547564,NA
Saccharina latissima,22.09.21,1.162,1.031,NA,0.887263339,NA
Saccharina latissima,22.09.21,0.452,0.271,NA,0.599557522,NA
Saccharina latissima,22.09.21,1.763,1.427,NA,0.809415769,NA
Saccharina latissima,22.09.21,0.5,0.392,NA,0.784,NA
Saccharina latissima,22.09.21,1.455,1.28,NA,0.879725086,NA
Saccharina latissima,22.09.21,1.025,0.918,NA,0.895609756,NA
Saccharina latissima,22.09.21,1.072,0.927,NA,0.864738806,NA
Saccharina latissima,22.09.21,0.14,0.071,NA,0.507142857,NA
Saccharina latissima,22.09.21,0.213,0.135,NA,0.633802817,NA
Saccharina latissima,22.09.21,0.101,0.062,NA,0.613861386,NA
Saccorhiza polyschides,22.09.21,7.5,6.66,NA,0.888,NA
Saccorhiza polyschides,22.09.21,5.28,4.65,NA,0.880681818,NA
Saccorhiza polyschides,22.09.21,3.618,3.188,NA,0.881149807,NA
Saccorhiza polyschides,22.09.21,5.109,4.691,NA,0.918183598,NA
Saccorhiza polyschides,22.09.21,3.906,3.445,NA,0.881976446,NA
Saccorhiza polyschides,22.09.21,3.397,3.048,NA,0.89726229,NA
Saccorhiza polyschides,22.09.21,2.512,2.211,NA,0.880175159,NA
Saccorhiza polyschides,22.09.21,1.927,1.725,NA,0.895173845,NA
Saccorhiza polyschides,22.09.21,1.219,1.019,NA,0.835931091,NA
Saccorhiza polyschides,22.09.21,1.168,1.015,NA,0.869006849,NA
Saccorhiza polyschides,22.09.21,1.362,1.209,NA,0.887665198,NA
Saccorhiza polyschides,22.09.21,1.375,1.224,NA,0.890181818,NA
Saccorhiza polyschides,22.09.21,0.855,0.742,NA,0.867836257,NA
