ID,min,mm
W1,0,9.3
W1,1,9.2
W1,2,9.1
W1,3,8.9
W1,4,8.8
W1,5,8.6
W2,0,9.8
W2,1,9.6
W2,2,9.5
W2,3,9.3
W2,4,9.2
W2,5,9.1
W3,0,9.9
W3,1,9.8
W3,2,9.6
W3,3,9.5
W3,4,9.3
W3,5,9.2
W4,0,9.9
W4,1,9.8
W4,2,9.6
W4,3,9.5
W4,4,9.3
W4,5,9.1
W5,0,9.9
W5,1,9.7
W5,2,9.6
W5,3,9.4
W5,4,9.3
W5,5,9.2
W6,0,9.9
W6,1,9.7
W6,2,9.6
W6,3,9.4
W6,4,9.3
W6,5,9.2
W7,0,10
W7,1,9.8
W7,2,9.7
W7,3,9.5
W7,4,9.3
W7,5,9.2
W8,0,9.9
W8,1,9.8
W8,2,9.6
W8,3,9.5
W8,4,9.3
W8,5,9.2
