initial,final,difference,min,mm.min
4.944,5.211,0.267,4,0.06675
4.871,5.485,0.614,4,0.1535
4.83,5.428,0.598,4,0.1495
4.77,5.263,0.493,4,0.12325
4.791,5.501,0.71,4,0.1775
4.638,5.03,0.392,4,0.098
